AuthorID,Author,Date,Content,Attachments,Reactions
"322353526187753482","J0rdan#2037","08/02/2019 12:56 AM","Hi all !","",""
"585086902424567822","0xn1mr0d","08/02/2019 1:04 AM","Helloooo","",""
"457126445819363338","pabloaave","08/02/2019 4:17 PM","Hey!","",""
"539935415084515369","El Macho#0691","09/10/2019 4:50 PM","There will be more information about the token swap on our next governance update","",""
"539935415084515369","El Macho#0691","09/10/2019 4:50 PM","?","",""
"457126445819363338","pabloaave","09/10/2019 5:15 PM","There will be a specific post about the token swap as soon as the technical details are fully defined","",""
"395045071675850752","davecraige","10/02/2019 7:24 AM","","https://cdn.discordapp.com/attachments/605528212239286312/628734046028955658/Screen_Shot_2019-10-01_at_5.24.25_PM.png","👀 (1)"
"395045071675850752","davecraige","10/02/2019 7:25 AM","/ @Stani","",""
"380330441774727172","darko2740","10/02/2019 7:38 AM","Stani is probably asleep now","",""
"604982965193146378","Stani#3346","10/02/2019 7:39 AM","we woke up couple of hours ago in Tokyo 🙂","",""
"380330441774727172","darko2740","10/02/2019 7:39 AM","Oh ok then. Good morning I suppose :)","","🙂 (1)"
"604982965193146378","Stani#3346","10/02/2019 7:39 AM","There will be some interesting update coming about how we will structure governance for Aave DLPs","",""
"380330441774727172","darko2740","10/02/2019 7:40 AM","Will amount of tokens give someone more control over others with smaller amount?","",""
"604982965193146378","Stani#3346","10/02/2019 7:42 AM","in current vision all tokens will give control","",""
"604982965193146378","Stani#3346","10/02/2019 7:42 AM","we are researching on how we could add the deposits to DLPs including time to provide more control","",""
"634483075962896393","Burney#1639","10/22/2019 4:01 AM","why are there a token swap,","",""
"604982965193146378","Stani#3346","10/22/2019 4:02 AM","we are improving our tokenomics to add the governance of the Aave Protocol","",""
"604982965193146378","Stani#3346","10/22/2019 4:02 AM","voting on upgreadability, protocol level parameters etc","",""
"634483075962896393","Burney#1639","10/22/2019 4:05 AM","got it.","",""
"634483075962896393","Burney#1639","10/22/2019 4:05 AM","you guys building liquidity pools aswell?","",""
"604982965193146378","Stani#3346","10/22/2019 4:10 AM","the lending pools are kind of liquidity pools as they allow to borrow 100% uncollateralized loans for one transaction, see more: https://twitter.com/The3D_/status/1182486591039655936","",""
"322353526187753482","J0rdan#2037","10/26/2019 5:03 PM","Hey @Raju singh answering your question about the swap here

There is nothing announced yet regarding a swap, I'm sure you will be first to know if there is and we will make sure everyone is aware! No worries","",""
"619493422868332574","Raju singh#9759","11/04/2019 9:12 PM","Thanks","",""
"619493422868332574","Raju singh#9759","11/04/2019 9:29 PM","Any idea how much min lend needed for gov model","",""
"457126445819363338","pabloaave","11/04/2019 9:30 PM","All the specific details about governance will come in future posts","",""
"619493422868332574","Raju singh#9759","11/04/2019 9:32 PM","Sorry but asking so that can arrange some money to buy the way it's price going up looks like won't be able to make it ☹","",""
"457126445819363338","pabloaave","11/04/2019 9:33 PM","Normally governance works, the more token you have, the more voting power, so I guess it wont be specific matter of min amount required","",""
"457126445819363338","pabloaave","11/04/2019 9:33 PM","Of course until the details are not released its not possible to confirm anything","",""
"619493422868332574","Raju singh#9759","11/04/2019 9:35 PM","Great","",""
"583971895377002507","EzR3aL#2994","11/04/2019 9:43 PM","Need to figure out how to handle German taxes","",""
"373298449396793345","QuMike#4235","01/08/2020 7:37 AM","https://twitter.com/The3D_/status/1214689269131943942","",""
"373298449396793345","QuMike#4235","01/08/2020 7:38 AM","https://etherscan.io/tx/0xa15653f7b0d5d1125589fafb6f335acbb4642dec8524c15abeba58e7f11d543d","",""
"373298449396793345","QuMike#4235","01/08/2020 7:39 AM","what does it mean?","",""
"380330441774727172","darko2740","01/08/2020 10:29 AM","I would say someone started to burn some Lend","",""
"380330441774727172","darko2740","01/08/2020 10:29 AM","bonfire just started","",""
"604982965193146378","Stani#3346","01/11/2020 7:21 AM","yup, cant wait to see flash loans burning even more 🙂","",""
"604982965193146378","Stani#3346","01/11/2020 7:22 AM","This is a pretty cool tool to track the burning of LEND token: https://lendwatch.now.sh/","",""
"373050652198305792","Ageless#1459","01/11/2020 7:22 AM","nice, similar to makerburn","",""
"345581461937586177","_treebeard_","01/11/2020 7:23 AM","Can you explain what's going on here?","",""
"604982965193146378","Stani#3346","01/11/2020 7:23 AM","you mean in this particular governance channel?","",""
"345581461937586177","_treebeard_","01/11/2020 7:24 AM","Specifically that tx / tweet","",""
"345581461937586177","_treebeard_","01/11/2020 7:24 AM","/ burning LEND.","",""
"604982965193146378","Stani#3346","01/11/2020 7:24 AM","part of the fees of the protocol are used to burn LEND 🔥","",""
"345581461937586177","_treebeard_","01/11/2020 7:24 AM","Ahh, got it. Is that an automated process? What % and how often? Also, what exactly are the fees of the protocol?","",""
"397148542331912193","blck","01/11/2020 7:31 AM","@treebeard i guess that 0.025% fee when you take a loan","","👍 (2)"
"345581461937586177","_treebeard_","01/11/2020 7:33 AM","Ah didn't realize there was an initial fee","",""
"604982965193146378","Stani#3346","01/11/2020 8:07 AM","yes and also flash loans has fees as well that are mostly redirected back to the protocol and also part used to burn LEND","",""
"373050652198305792","Ageless#1459","01/11/2020 8:30 AM","what is the difference between ""been redirected back to the protocol"" and ""burn LEND"" ?","",""
"373050652198305792","Ageless#1459","01/11/2020 8:30 AM","I thought the protocol was that it does burn LEND","",""
"604982965193146378","Stani#3346","01/11/2020 8:34 AM","the fees that are going back to the protocol goes to depositors and the burned LEND will be simply used to burn LEND and decrease the LEND total supply","",""
"373050652198305792","Ageless#1459","01/11/2020 8:35 AM","ahh of course, because they can't make anything from rates when its all done in 1 block. got it. whats the split burn:depositors?","",""
"604982965193146378","Stani#3346","01/11/2020 8:59 AM","no no, they are making as even the one transaction in one block genertes fees in flash loans","",""
"604982965193146378","Stani#3346","01/11/2020 9:00 AM","Here is a good detail on fees: https://app.aave.com/faq#cost-service","",""
"604982965193146378","Stani#3346","01/11/2020 9:01 AM","The platform has 2 type of fees. From borrowers, a 0.25% of the loan amount is collected on loan origination, from which 20% is used for referral integrators and 80% is swapped to LEND token and burned. From flash loans, a 0.35% is collected from the loan amount, from which 90% is redirected as extra income for depositors of the protocol and 10% is splitted using the same 20%/80% model of the origination fee. There also exist transaction fees related with the Ethereum Blockchain usage, these fees depend on the network status and transaction complexity.","",""
"373050652198305792","Ageless#1459","01/11/2020 9:42 AM","ok thanks for the breakdown.","",""
"577641598658019339","yo bro pass the J#1543","01/24/2020 4:04 PM","Whats the incentive to hold the LEND token other than voting?","",""
"457126445819363338","pabloaave","01/24/2020 5:57 PM","LEND token core usage will be governance, also the token is used to deposit and borrow (collateral) in the protocol. Apart from this the protocol burn LEND tokens based on the fees gathered on a ratio of 80% of the fees gathered for the protocol are used to burn LEND.","",""
"576030621797711902","georgiarak","01/25/2020 12:30 AM","@Pablo Won't DM you first so not yet using LENF for governance? when might that begin do you think?","",""
"576030621797711902","georgiarak","01/25/2020 12:30 AM","*LEND","",""
"457126445819363338","pabloaave","01/25/2020 12:39 AM","We are right now working on that, no specific date though","",""
"382460866983100428","gandalfino74#5669","02/03/2020 12:01 AM","Where can i hold my LEND tokens? Is there a wallet?","",""
"380330441774727172","darko2740","02/03/2020 12:14 AM","You can deposit them at https://app.aave.com/","",""
"438538804719255552","atosm","02/19/2020 11:30 PM","Good move on the 35% LTV for MKR ... just in case something blow up..","","👍 (1)"
"415196182806003712","marczeller","02/19/2020 11:33 PM","i believe the probability is low, but safety is our top priority","","👍 (1)"
"397148542331912193","blck","02/19/2020 11:49 PM","i dont see the point of reducing mkr ltv","",""
"397148542331912193","blck","02/19/2020 11:50 PM","then why keep dai ?","",""
"397148542331912193","blck","02/19/2020 11:50 PM","same system","",""
"457126445819363338","pabloaave","02/19/2020 11:51 PM","In this case its also related with MKR token volatilit itself","",""
"415196182806003712","marczeller","02/19/2020 11:52 PM","MKR is linked to DAI in case of `flop` auctions, the probability of that is even lower, IMHO","",""
"406666266728988672","deepesh#9607","03/01/2020 2:12 PM","@Pablo Won't DM you first @MarcZeller.....why don't we rebrand lend as aave token
Will be a great boost to the project..as aave is  doing so great","","💯 (2)"
"385567300473847828","nikola_j","03/02/2020 9:47 PM","Hey guys, this article mentions a governance vote for change of flash loan fees from 0.35% to 0.09% - did that ever happen?
<https://medium.com/aave/flash-loans-one-month-in-73bde954a239>","",""
"664565823322456064","sakulstra#9125","03/03/2020 7:12 AM","Yep it's already reduced.","",""
"385567300473847828","nikola_j","03/04/2020 11:10 PM","Thanks @sakulstra! Is there a page where the current fee can be checked?","",""
"154453240535056384","hiturunk","03/14/2020 12:56 PM","Hey guys, just curious, how does a token get listed on Aave protocol? Is there some relevant documentation?","",""
"154453240535056384","hiturunk","03/14/2020 12:57 PM","The reason I ask is: I feel collateralizing uniswap pool shares could be very valuable.","",""
"457126445819363338","pabloaave","03/14/2020 7:11 PM","Initially was decided to take different popular and well known tokens also normally with good liquidity etc. We did a risk assesment with the addition to decide the parameters of each token:
https://developers.aave.com/#risk-parameters-matrix

In general new assets addition will come with the implementation of our governance through LEND token. So LEND holders would be able to vote and propose on new additions, in this case new assets to add, their parameters etc","",""
"679944783367766040","9891.eth","03/18/2020 4:56 PM","@Pablo Won't DM you first Excuse me, when will the LEND token introduce a new governance scenario?","",""
"457126445819363338","pabloaave","03/18/2020 5:23 PM","There is no specific ETA @9891.eth as soon as we have more details about this we will be releasing the specific tokenomics and governance documentation with it","",""
"679944783367766040","9891.eth","03/18/2020 5:41 PM","Thx","",""
"416711135358746635","Chris42Dao#1012","04/14/2020 3:51 PM","> There is no specific ETA @9891.eth as soon as we have more details about this we will be releasing the specific tokenomics and governance documentation with it
@Pablo Won't DM you first Hi, I am a long term hodler of LEND. Will we see something specific in 2020 regarding the LEND token governance and voting concept (referring to your WP from Jan 2020)? I am asking because I consider to accumulate more LEND if you guys are top serious on this. Since many of us put skin in the game, we expect precise clarification on this, not just ""we don't know or ... as soon as .."". If there is already clarification on this issue in this forum, pls let me know as well.","",""
"416711135358746635","Chris42Dao#1012","04/14/2020 3:52 PM","This is the WP I refer to","https://cdn.discordapp.com/attachments/605528212239286312/699527368452079647/Aave_Protocol_Whitepaper_v1_0.pdf",""
"679944783367766040","9891.eth","04/14/2020 5:33 PM","Please, is the aave compound interest cycle a day?","",""
"457126445819363338","pabloaave","04/14/2020 5:33 PM","> Please, is the aave compound interest cycle a day?
@9891.eth Second by second","",""
"679944783367766040","9891.eth","04/14/2020 5:34 PM","coool","",""
"457126445819363338","pabloaave","04/14/2020 5:34 PM","> This is the WP I refer to
@Chris42Dao Of course, we will be giving all the details as soon as those are ready, but its not possible to specify the final details if those are not ready, I hope you can understand our point in that sense","",""
"679944783367766040","9891.eth","04/14/2020 5:46 PM","I am also a holder of LEND, and governance and voting concept is really important to the holder. AAVE TEAM is expected to communicate and communicate your ideas to the holder son-in-charge immediately. This helps both lend holders and LEND prices. We all think the same, we all want AAVE to develop better.😋","",""
"457126445819363338","pabloaave","04/14/2020 5:59 PM","Yes, that's it as soon as we have governance and tokenomics documentation ready we will be sharing with the community to get their feedback 🙂","",""
"678463773866197054","geekery","04/14/2020 6:07 PM","AAVE is a protocol with native token, which is the biggest difference from other no token protocols, but this difference does not play its due advantage.","",""
"678463773866197054","geekery","04/14/2020 6:10 PM","How to increase the use of tokens? This is very important!","",""
"679944783367766040","9891.eth","04/14/2020 6:10 PM","Compound is about to release their token, and if we don't seize the opportunity, it's a bad thing for AAVE. That's why I'm anxious and worried.","",""
"457126445819363338","pabloaave","04/14/2020 6:11 PM","if you refer to LEND token, current implementation is phase 0 of the protocol. Phase 1 is coming adding governance through LEND token and after that phase 2 with full tokenomics","",""
"457126445819363338","pabloaave","04/14/2020 6:11 PM","Its not something to be worried about @9891.eth is not matter of who is implementing governance before or after but the value that these governance and tokenomics add to the protocol in my opinion","",""
"679944783367766040","9891.eth","04/14/2020 6:12 PM","That's right. But if it's too slow, it's going to lose some of the first-mover advantage.","",""
"679944783367766040","9891.eth","04/14/2020 6:14 PM","MKR is also the first to be introduced, and then slowly improved. It's impossible to think that it's perfect as soon as it's launched.","",""
"457126445819363338","pabloaave","04/14/2020 6:14 PM","I think the ecosystem evolves quite fast, so its not so much matter of being the first that would make someone lose but the value added. In my opinion people is willing to move from one place to another based on the value added","",""
"457126445819363338","pabloaave","04/14/2020 6:15 PM","Yes, the idea is not make it perfect since the beginning, but needs to have at least a value and reasoning behind, not just release governance because it needs to be there","",""
"679944783367766040","9891.eth","04/14/2020 6:17 PM","So, what's the progress of the AAVE team on LEND's governance and voting concept? Has it started yet? About 20%? 50%? 80%?","",""
"679944783367766040","9891.eth","04/14/2020 6:17 PM","Holders would like to receive some feedback on the progress.","",""
"457126445819363338","pabloaave","04/14/2020 6:19 PM","The work began along with the release of the protocol, the idea is have more details in the coming 4-8 weeks but in my honest opinion its better to not give specific ETA etc to avoid expectations on the timing etc. We need to work daily based on the priorities that are coming. If for some reason we notice its required to move to improve the user experience or other thing from the platform and it needs to be done asap we would need to do that. So its not realistic to give a time frame, we need to work on what is priority for the protocol","","👍🏻 (2)"
"457126445819363338","pabloaave","04/14/2020 6:20 PM","We are transparent, we are working on the governance for the next phase on the protocol but its not worth to discuss on specific details when they are probable to change as those are still a work in progress, as soon as we release specific documentation with further details we would be able to discuss in more detail","",""
"679944783367766040","9891.eth","04/14/2020 6:24 PM","Good. The holder doesn't want a particular ETA, we just want to know that it's already in progress and that there's a rough ETA on it. AAVE TEAM work is positive and anyone can see it.","","👌 (1)"
"678463773866197054","geekery","04/14/2020 6:31 PM","Earlier I heard that you need to add some insurance, is there still?","",""
"457126445819363338","pabloaave","04/14/2020 6:32 PM","> Earlier I heard that you need to add some insurance, is there still?
@geekery There are already options for insurance on the depositors side, as nexus mutual and opyn, but its something interesting to evaluate for future iterations of the protocol","",""
"678463773866197054","geekery","04/14/2020 6:52 PM","Looking forward to your surprise, the defi market needs innovation.","","👌 (1)"
"604982965193146378","Stani#3346","04/21/2020 4:57 PM","I agree","",""
"604982965193146378","Stani#3346","04/21/2020 4:59 PM","I saw Compound token and thats a bit different thing as it's practically early exit for the team and investors whereas we are more releasing aavenomics which includes monetary policies and other important things that are important for the growth of the ecosystem.","","aavepool (4),aavehello (5),👍 (5)"
